ringnr natal.island adult.island disp hatch.year gen_sex
8939359 33 27 1 2004 0
8939360 33 27 1 2004 1
8939391 27 27 0 2004 0
8939506 27 27 0 2004 1
8939534 27 27 0 2004 0
8939535 27 27 0 2004 0
8939538 27 27 0 2004 0
8939539 27 27 0 2004 1
8939578 22 27 1 2004 1
8939584 27 27 0 2004 1
8939602 27 27 0 2004 1
8939605 27 27 0 2004 0
8939608 27 27 0 2004 0
8939627 27 27 0 2004 0
8939630 27 27 0 2004 0
8939728 27 27 0 2004 1
8939733 77 27 1 2004 0
8939745 27 27 0 2004 0
8939746 27 27 0 2004 0
8939747 27 27 0 2004 0
8939748 27 27 0 2004 0
8939749 27 27 0 2004 1
8939750 27 27 0 2004 1
8939762 27 27 0 2004 1
8939763 27 27 0 2004 1
8939764 27 27 0 2004 0
8939768 24 27 1 2004 0
8939769 77 27 1 2004 0
8939897 27 27 0 2004 1
8939898 27 27 0 2004 1
8939899 27 27 0 2004 1
8943402 27 27 0 2004 0
8943405 27 27 0 2004 1
8943880 27 27 0 2004 1
8943882 27 27 0 2004 0
8943889 27 27 0 2004 1
8943897 27 27 0 2004 0
8981609 27 27 0 2004 1
8981723 20 27 1 2004 0
8981733 20 27 1 2004 1
8981801 27 27 0 2004 1
8981802 23 27 1 2004 1
8981804 24 27 1 2004 0
8981806 27 27 0 2004 0
8981807 27 27 0 2004 1
8981822 27 27 0 2004 0
8981823 26 27 1 2004 0
8981824 26 27 1 2004 1
8981856 27 27 0 2004 0
8981857 27 27 0 2004 1
8981858 20 27 1 2004 0
8L30286 27 27 0 2004 0
8939037 26 26 0 2004 0
8939038 26 26 0 2004 0
8939088 26 26 0 2004 0
8939091 26 26 0 2004 1
8939121 26 26 0 2004 1
8939124 26 26 0 2004 1
8939125 26 26 0 2004 1
8939150 26 26 0 2004 1
8939151 26 26 0 2004 0
8939519 26 26 0 2004 0
8939521 26 26 0 2004 1
8939555 26 26 0 2004 1
8939610 26 26 0 2004 0
8939611 26 26 0 2004 0
8939613 26 26 0 2004 1
8939631 26 26 0 2004 1
8939632 26 26 0 2004 0
8939633 26 26 0 2004 0
8981720 77 26 1 2004 1
8981741 26 26 0 2004 1
8981972 77 26 1 2004 1
8939106 20 20 0 2004 0
8939159 27 20 1 2004 1
8939175 27 20 1 2004 1
8939192 27 20 1 2004 1
8939533 27 20 1 2004 0
8939561 20 20 0 2004 0
8939562 20 20 0 2004 1
8939590 20 20 0 2004 1
8939595 20 20 0 2004 0
8943458 20 20 0 2004 0
8943459 20 20 0 2004 1
8981702 26 20 1 2004 1
8981703 27 20 1 2004 1
8981704 20 20 0 2004 0
8981711 38 20 1 2004 1
8939054 77 24 1 2004 1
8939056 24 24 0 2004 0
8939367 33 24 1 2004 0
8939416 24 24 0 2004 0
8939419 24 24 0 2004 1
8939429 35 24 1 2004 0
8939441 24 24 0 2004 1
8939443 23 24 1 2004 1
8939460 24 24 0 2004 0
8939462 24 24 0 2004 0
8939475 34 24 1 2004 1
8939495 35 24 1 2004 0
8939498 24 24 0 2004 0
8939544 22 24 1 2004 0
8939718 22 24 1 2004 1
8939743 22 24 1 2004 0
8939804 24 24 0 2004 0
8939806 24 24 0 2004 0
8939824 23 24 1 2004 1
8939872 24 24 0 2004 1
8943424 24 24 0 2004 1
8943496 24 24 0 2004 0
8943797 23 24 1 2004 1
8981310 27 24 1 2004 1
8981536 24 24 0 2004 1
8939059 77 23 1 2004 1
8939425 23 23 0 2004 0
8939465 23 23 0 2004 0
8939773 20 23 1 2004 1
8939815 24 23 1 2004 0
8939818 23 23 0 2004 1
8939819 23 23 0 2004 1
8939874 23 23 0 2004 1
8939876 23 23 0 2004 0
8943429 24 23 1 2004 1
8943469 24 23 1 2004 1
8943470 24 23 1 2004 1
8943498 24 23 1 2004 0
8943587 23 23 0 2004 0
8943857 23 23 0 2004 1
8981582 23 23 0 2004 0
8981923 24 23 1 2004 1
8981927 23 23 0 2004 1
8981942 23 23 0 2004 1
8981944 23 23 0 2004 1
8981945 23 23 0 2004 1
8981965 23 23 0 2004 1
8981971 77 23 1 2004 1
8L30372 23 23 0 2004 1
8939107 20 22 1 2004 0
8939551 22 22 0 2004 0
8939579 22 22 0 2004 1
8939805 24 22 1 2004 1
8939807 24 22 1 2004 1
8939821 23 22 1 2004 1
8943422 24 22 1 2004 0
