ringnr,hatchyear,lastyear,firstisland,lastisland,HelgelandSNPisland
8537625,1994,1994,29,29, 
8537626,1994,1994,29,29, 
8537627,1994,1994,29,29, 
8537628,1994,1995,29,29, 
8537629,1994,1994,29,29, 
8537630,1994,1994,29,29, 
8537631,1994,1994,29,29, 
8537632,1994,1994,29,29, 
8537633,1994,1994,29,29, 
8537634,1994,1994,29,29, 
8537635,1994,1995,29,29, 
8537636,1994,1996,29,29, 
8537637,1994,1994,29,29, 
8537638,1994,1994,29,29, 
8537639,1994,1994,29,29, 
8537640,1994,1994,29,29, 
8537641,1994,1995,29,29, 
8537642,1994,1994,29,29, 
8537643,1994,1994,29,29, 
8537644,1994,1994,27,27,1
8537645,1994,1994,27,27,1
8537646,1994,1994,27,27,1
8537647,1994,1994,27,27,1
8537648,1994,1994,27,27,1
8537649,1994,1994,27,27,1
8537650,1994,1996,27,27,1
8537651,1994,1994,26,26,1
8537652,1994,1999,26,26,1
8537653,1994,1994,332,332, 
8537654,1994,1994,332,332, 
8537655,1994,1996,332,331, 
8537656,1994,1994,332,332, 
8537657,1994,1994,332,332, 
8537658,1994,1994,332,332, 
8537659,1994,1994,332,332, 
8537660,1994,1998,332,331, 
8537661,1994,1994,332,332, 
8537662,1994,1994,332,332, 
8537663,1994,1994,332,332, 
8537664,1994,1994,332,332, 
8537665,1994,1995,332,331, 
8537666,1994,1996,332,332, 
8537667,1994,1997,332,332, 
8537668,1994,1994,332,332, 
8537669,1994,1994,332,332, 
8537670,1994,1994,332,332, 
8537671,1994,1996,26,26,1
8537672,1994,1994,26,26,1
8537673,1994,1994,27,27,1
8537674,1994,1994,27,27,1
8537675,1994,1994,27,27,1
8537676,1994,1994,27,27,1
8537677,1994,1996,27,27,1
8537678,1994,1994,28,28,1
8537679,1994,1994,28,28,1
8537680,1994,1994,28,28,1
8537681,1994,1995,28,28,1
8537682,1994,1994,28,28,1
8537683,1994,1994,28,28,1
8537684,1994,1997,28,28,1
8537685,1994,1997,29,29, 
8537687,1994,1996,29,29, 
8537688,1994,1994,27,27,1
8537689,1994,1994,27,27,1
8537690,1994,1995,27,27,1
8537691,1994,1995,27,27,1
8537692,1994,1995,27,27,1
8537693,1994,1996,27,27,1
8537694,1994,1995,27,27,1
8537695,1994,1994,27,27,1
8537696,1994,1995,27,27,1
8537697,1994,1994,20,20,1
8537698,1994,1994,20,20,1
8537699,1994,1999,20,20,1
8537700,1994,2001,20,20,1
8537701,1994,1995,27,27,1
8537702,1994,1995,27,27,1
8537703,1994,1995,27,27,1
8537704,1994,1994,28,28,1
8537705,1994,1997,28,26,1
8537706,1994,1994,28,28,1
8537707,1994,1994,28,28,1
8537708,1994,1994,28,28,1
8537709,1994,1994,28,28,1
8537710,1994,1995,28,28,1
8537711,1994,1994,28,28,1
8537712,1994,1994,28,28,1
8537713,1994,1994,28,28,1
8537714,1994,1994,28,28,1
8537715,1994,1995,28,28,1
8537716,1994,1994,26,26,1
8537717,1994,1994,26,26,1
8537718,1994,1994,26,26,1
8537719,1994,1994,26,26,1
8537720,1994,1994,26,26,1
8537721,1994,1994,26,26,1
8537722,1994,1994,26,26,1
8537723,1994,1994,26,26,1
8537724,1994,1994,26,26,1
8537725,1994,1994,26,26,1
8537726,1994,1994,26,26,1
8537727,1994,1994,27,27,1
8537728,1994,2001,27,27,1
8537729,1994,1998,27,27,1
8537730,1994,1995,27,27,1
8537731,1994,1994,27,27,1
8537732,1994,1994,27,27,1
8537733,1994,1994,27,27,1
8537735,1994,1994,27,27,1
8537736,1994,1994,27,27,1
8537737,1994,1994,27,27,1
8537738,1994,1995,27,27,1
8537739,1994,1994,27,27,1
8537740,1994,1994,27,27,1
8537741,1994,1994,27,27,1
8537742,1994,1996,27,27,1
8537743,1994,1995,28,29,1
8537744,1994,1995,28,28,1
8537745,1994,1994,28,28,1
8537746,1994,1996,27,27,1
8537747,1994,1994,27,27,1
8537748,1994,2000,27,30,1
8537749,1994,1994,27,27,1
8537750,1994,1994,32,32, 
8537751,1994,1998,32,24,1
8537752,1994,1997,32,23,1
8537753,1994,1994,32,23,1
8537754,1994,1994,32,32, 
8537755,1994,1994,32,32, 
8537756,1993,1994,32,32, 
8537757,1994,1996,32,25, 
8537758,1994,1994,22,22,1
8537759,1994,1994,22,22,1
8537760,1994,1995,22,22,1
8537761,1994,1998,22,22,1
8537762,1994,1994,22,22,1
8537763,1994,1994,23,23,1
8537764,1994,1994,23,23,1
8537765,1994,1996,23,25,1
8537766,1994,1994,27,27,1
8537767,1994,1994,26,26,1
8537768,1994,1994,26,26,1
8537769,1994,1995,331,332, 
8537770,1994,1998,331,331, 
8537771,1994,1997,331,331, 
8537772,1994,1994,331,331, 
8537773,1994,1995,331,331, 
8537774,1994,1998,331,331, 
8537775,1994,1994,331,331, 
8537776,1994,1997,331,331, 
8537777,1994,1994,331,331, 
8537778,1994,1996,331,331, 
8537779,1994,1995,331,331, 
8537780,1994,1995,331,331, 
8537781,1994,1994,331,331, 
8537782,1994,1996,331,331, 
8537783,1994,1994,332,332, 
8537784,1994,1994,332,332, 
8537785,1994,1994,332,332, 
8537786,1995,1995,27,27,1
8537787,1995,1995,27,27,1
8537788,1995,1995,27,27,1
8537789,1995,1995,27,27,1
8537790,1995,1995,27,27,1
8537791,1995,1996,27,27,1
8537792,1995,1995,27,27,1
