IID FROH FGRM gen_het pruned_gen_het adsex fiflok laflok hatchyear presumedhatchyear firstyear lastyear minadyear maxadyear age1tarsus age1wing age1billD age1billL age1mass age1totba age1visba
8651952 0.0049499631018253 0.0143292 0.331024961343053 0.336348143023472 2 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651975 0.0542335941401916 0.0770813 0.310073066875797 0.312830163203997 2 27 27 NA 1996 1997 1998 1997 1998 NA NA NA NA NA NA NA
8651979 0.0263501392467482 0.0226108 0.32793687804932 0.33185597906378 1 27 27 NA 1996 1997 2000 1997 2000 NA NA NA NA NA NA NA
8651985 0.00563320514346673 0.0281258 0.336228780821615 0.334159563615516 2 26 26 1997 NA 1997 2000 1998 2000 NA NA NA NA NA NA NA
8651993 0.00262548194175674 0.0217539 0.334633251766214 0.334646965004515 1 26 26 1997 NA 1997 1998 1998 1998 NA NA NA NA NA NA NA
8651997 0 0.0041295 0.341849600141876 0.340925646716021 1 27 27 NA 1996 1997 1999 1997 1999 NA NA NA NA NA NA NA
8651998 0.0112902621065748 0.00560832 0.329622966380433 0.336433154313754 1 27 27 NA 1996 1997 2002 1997 2002 NA NA NA NA NA NA NA
8668476 0 -0.0519808 0.365351639372562 0.366815187911662 2 27 27 2007 NA 2007 2010 2008 2010 18.29 77.85 7.78 12.94 29.28 NA NA
8668479 0.0124273227294396 0.0244298 0.328230541697938 0.333291176594579 2 26 26 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8668480 0 0.0070609 0.339384032560015 0.337616536595655 NA 28 28 NA 2007 2007 2009 2008 2009 NA NA NA NA NA NA NA
8668482 0.152828730708256 0.173132 0.273118243951991 0.274187290180002 2 26 26 2007 NA 2007 2009 2008 2009 20.12 80.45 8.7 15.45 34.24 NA NA
8668484 0.303266813865843 0.331285 0.210297056007262 0.216977621407669 2 26 26 2007 NA 2007 2008 2008 2008 NA NA NA NA NA NA NA
8668490 0 0.0225274 0.333699528546665 0.337367178276269 2 27 27 NA 2006 2007 2007 2007 2007 20.05 79.58 8.07 14.23 32.28 NA NA
8681001 0 0.0178636 0.336129723047035 0.337748511879669 1 26 26 NA 1997 1997 2000 1998 2000 19.27 81.29 8.22 13.63 33.88 19.81 15.7
